	CTX-M-130	CTX-M-121	CTX-M-155	CTX-M-42	CTX-M-112	CTX-M-50	CTX-M-24	CTX-M-19	CTX-M-38	CTX-M-58	CTX-M-56	CTX-M-88	CTX-M-126	CTX-M-107	CTX-M-11	CTX-M-125	CTX-M-101	CTX-M-36	CTX-M-35	CTX-M-159	CTX-M-151	CTX-M-25	CTX-M-147	CTX-M-1	CTX-M-94	CTX-M-30	CTX-M-76	CTX-M-69	CTX-M-9	CTX-M-82	CTX-M-47	CTX-M-117	CTX-M-41	CTX-M-20	CTX-M-122	CTX-M-34	CTX-M-65	CTX-M-137	CTX-M-123	CTX-M-40	CTX-M-98	CTX-M-49	CTX-M-81	CTX-M-100	CTX-M-8	CTX-M-48	CTX-M-55	CTX-M-31	CTX-M-87	CTX-M-158	CTX-M-68	CTX-M-102	CTX-M-14	CTX-M-108	CTX-M-142	CTX-M-99	CTX-M-131	CTX-M-93	CTX-M-139	CTX-M-113	CTX-M-77	CTX-M-61	CTX-M-4	CTX-M-86	CTX-M-54	CTX-M-22	CTX-M-114	CTX-M-141	CTX-M-7	CTX-M-21	CTX-M-64	CTX-M-124	CTX-M-39	CTX-M-105	CTX-M-28	CTX-M-6	CTX-M-33	CTX-M-96	CTX-M-157	CTX-M-46	CTX-M-67	CTX-M-110	CTX-M-109	CTX-M-80	CTX-M-85	CTX-M-3	CTX-M-52	CTX-M-132	CTX-M-26	CTX-M-60	CTX-M-92	CTX-M-74	CTX-M-103	CTX-M-13	CTX-M-78	CTX-M-44	CTX-M-63	CTX-M-32	CTX-M-84	CTX-M-16	CTX-M-152	CTX-M-156	CTX-M-95	CTX-M-71	CTX-M-53	CTX-M-2	CTX-M-79	CTX-M-5	CTX-M-90	CTX-M-66	CTX-M-45	CTX-M-23	CTX-M-144	CTX-M-115	CTX-M-106	CTX-M-12	CTX-M-134	CTX-M-27	CTX-M-59	CTX-M-91	CTX-M-75	CTX-M-72	CTX-M-116	CTX-M-111	CTX-M-51	CTX-M-17	CTX-M-136	CTX-M-29	CTX-M-43	CTX-M-148	CTX-M-10	CTX-M-160	CTX-M-83	CTX-M-89	CTX-M-129	CTX-M-37	CTX-M-104	CTX-M-62	CTX-M-15	CTX-M-161	CTX-M-162	CTX-M-163	CTX-M-164	CTX-M-165	CTX-M-166	CTX-M-127	CTX-M-138	CTX-M-140	CTX-M-143	CTX-M-146	CTX-M-150	CTX-M-153	CTX-M-154	CTX-M-167	CTX-M-168	CTX-M-169	CTX-M-170	CTX-M-171	CTX-M-172	CTX-M-173	CTX-M-174	CTX-M-175	CTX-M-176	CTX-M-177	CTX-M-178	CTX-M-179	CTX-M-180	CTX-M-181	CTX-M-182	CTX-M-183	CTX-M-184	CTX-M-185	CTX-M-186	CTX-M-187	CTX-M-188	CTX-M-189	CTX-M-190	CTX-M-191	CTX-M-192	CTX-M-193	CTX-M-194	CTX-M-195	CTX-M-196	CTX-M-197	CTX-M-198	CTX-M-199	CTX-M-200	CTX-M-201	CTX-M-202	CTX-M-203	CTX-M-204	CTX-M-205	CTX-M-206	CTX-M-207	CTX-M-208	CTX-M-209	CTX-M-210	CTX-M-211	CTX-M-212	CTX-M-213	CTX-M-214	CTX-M-215	CTX-M-216	CTX-M-217	CTX-M-218	CTX-M-219	CTX-M-220	CTX-M-221	CTX-M-222	CTX-M-223	CTX-M-224	CTX-M-225	CTX-M-226	CTX-M-227	CTX-M-228	CTX-M-229	CTX-M-230	CTX-M-231	CTX-M-232	CTX-M-233	CTX-M-234	CTX-M-235	CTX-M-236	CTX-M-237	CTX-M-238	CTX-M-239	CTX-M-240	CTX-M-241	CTX-M-242	CTX-M-244	CTX-M-73	CTX-M-97
CTX-M-142	234	231	5	3	232	232	232	232	232	13	229	2	233	18	36	233	2	11	229	231	401	221	233	12	220	13	227	4	233	2	232	2	220	228	232	24	233	166	86	228	231	233	234	220	224	231	2	229	233	13	29	231	231	18	0	233	227	231	2	232	227	11	236	232	3	3	3	229	235	237	115	230	221	232	3	232	2	9	2	233	232	237	17	4	232	2	4	61	222	11	229	233	2	232	224	229	229	11	232	232	225	2	226	2	25	228	3	228	232	3	242	11	3	231	238	10	231	230	229	223	232	3	7	232	234	232	5	8	228	234	23	220	231	222	231	21	232	11	1	231	3	2	3	228	13	2	14	232	2	13	5	87	2	3	232	11	2	229	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	231	231	2	232	117	229	232	2	3	3	225	10	3	2	2	2	11	7	231	234	234	2	221	2	234	3	166	13	232	2	2	3	4	2	231	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	229
CTX-M-99	5	4	234	231	3	3	1	1	3	235	208	233	3	245	256	2	233	234	206	4	360	202	2	235	201	233	207	233	6	231	3	233	201	207	2	229	2	67	147	198	4	4	6	201	193	3	233	208	4	236	228	4	2	245	233	0	208	4	233	3	208	234	214	3	232	232	234	208	214	11	118	207	200	5	233	209	233	236	233	5	3	9	243	232	3	231	231	172	199	236	208	207	233	6	200	208	199	236	3	7	201	231	209	233	232	207	234	206	3	232	15	233	234	208	10	235	4	3	208	202	210	232	232	3	7	4	232	234	209	3	228	201	3	201	4	233	3	232	232	4	232	233	234	209	236	233	237	3	233	236	236	146	233	232	3	233	233	208	233	233	4	236	233	231	233	234	233	233	233	233	233	199	233	231	233	233	234	3	4	233	231	4	2	232	3	120	208	3	233	232	232	200	233	234	233	233	231	240	232	5	7	3	233	202	233	5	232	67	236	5	232	231	234	235	233	209	234	232	233	4	148	3	232	233	233	5	4	9	4	233	4	208
CTX-M-131	207	206	231	230	205	207	207	207	207	234	2	229	206	242	256	208	229	232	2	206	375	203	208	233	202	231	7	230	208	229	207	229	202	2	206	229	208	201	219	212	206	208	209	202	210	205	229	2	208	234	222	206	206	242	227	208	0	206	229	207	9	233	18	207	230	229	230	2	22	208	213	6	203	207	229	15	229	230	229	205	207	210	241	230	207	229	231	219	202	232	2	139	229	208	207	2	213	232	207	207	207	229	10	229	230	1	229	8	207	230	214	230	230	7	211	231	206	205	2	203	140	229	230	207	209	206	230	229	1	209	228	202	207	204	206	228	207	232	228	205	230	229	230	4	234	229	235	207	229	234	232	220	229	230	207	230	229	2	229	229	205	234	229	230	229	230	229	229	229	229	229	207	229	232	229	229	230	207	206	229	229	206	206	228	206	215	2	207	229	230	230	208	232	230	229	229	227	238	232	207	209	209	229	203	229	209	230	203	234	207	228	227	228	231	229	5	230	227	229	206	219	207	230	229	229	207	206	212	206	229	206	2
CTX-M-93	5	2	232	232	3	3	3	3	3	236	208	231	4	243	256	4	231	234	208	2	360	200	4	235	199	233	207	231	6	229	3	231	199	207	4	229	4	65	145	198	2	4	6	199	193	3	231	208	4	236	228	2	2	243	231	4	206	0	231	3	208	234	214	3	232	232	232	208	214	11	116	207	200	3	231	209	231	234	231	5	3	9	241	232	3	231	233	170	199	236	208	208	231	6	200	208	199	234	3	5	201	229	209	231	230	207	232	206	3	232	15	234	232	208	10	235	2	1	208	202	210	232	232	3	7	4	232	232	207	5	228	199	3	201	2	233	3	234	230	4	232	231	232	209	236	231	237	3	231	236	234	144	231	232	3	231	231	208	231	231	2	236	231	231	231	232	231	231	231	231	231	199	231	231	231	231	232	3	2	231	229	2	2	230	3	118	208	3	231	232	232	200	233	232	231	231	229	240	233	5	7	5	231	200	231	7	232	69	236	3	230	229	232	233	231	209	232	230	231	2	146	3	232	231	231	3	2	8	2	231	4	208
CTX-M-139	234	231	5	3	232	232	232	232	232	13	231	2	233	18	36	233	2	11	231	231	401	220	233	12	219	13	229	4	233	2	232	2	219	230	232	24	233	166	86	228	231	233	234	219	224	231	2	231	233	13	29	231	231	18	2	233	229	231	0	232	229	11	238	232	3	3	3	231	237	237	115	232	220	232	3	234	2	9	2	233	232	237	17	4	232	2	4	61	221	11	231	235	2	232	224	231	229	11	232	232	225	2	228	2	25	230	3	230	232	3	242	11	3	233	238	10	231	230	231	222	234	3	7	232	234	232	5	8	230	234	23	219	231	221	231	21	232	11	1	231	3	2	3	230	13	2	14	232	2	13	5	87	2	3	232	11	2	231	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	231	231	2	232	117	231	232	2	3	3	224	10	3	2	2	2	11	7	231	234	234	2	220	2	234	3	166	13	232	2	2	3	4	2	233	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	231
CTX-M-113	4	3	233	231	2	2	2	2	2	235	207	232	3	244	255	3	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	3	207	3	232	0	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	227	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-77	207	208	231	228	205	207	207	207	207	232	9	229	206	241	253	208	229	230	9	208	374	206	208	231	205	229	8	230	208	229	207	229	205	8	206	227	208	201	221	213	208	208	209	205	211	205	229	9	208	232	220	208	206	241	227	208	9	208	229	207	0	231	23	207	228	227	230	9	25	208	215	7	204	209	229	18	229	232	229	205	207	210	241	228	207	227	229	219	205	232	9	143	229	208	208	9	214	232	207	209	208	229	7	229	230	8	229	9	207	228	214	228	230	8	211	231	208	207	9	204	144	227	228	207	209	206	228	229	10	209	226	205	207	205	208	226	207	230	228	205	228	229	230	11	232	229	233	207	229	232	232	222	229	228	207	230	229	9	229	229	207	232	229	228	229	230	229	229	229	229	229	208	229	230	229	229	230	207	208	229	229	208	208	228	206	217	9	207	229	228	228	209	230	230	229	229	227	236	230	207	209	209	229	206	229	209	228	201	232	209	228	227	228	231	229	12	230	227	229	208	221	207	228	229	229	209	208	212	208	229	206	9
CTX-M-61	235	234	14	10	233	233	233	233	233	2	233	11	234	25	43	234	11	2	233	234	398	218	232	1	219	15	231	11	234	11	233	11	219	232	233	23	232	171	93	228	232	234	235	219	224	232	9	233	232	2	30	234	232	25	11	234	233	234	11	233	231	0	240	233	10	10	10	233	239	238	120	234	218	233	10	236	11	16	11	234	233	238	24	11	233	9	9	70	219	14	233	238	11	233	221	233	229	2	233	235	222	11	230	11	24	232	10	232	231	10	243	7	10	235	239	15	234	233	233	218	237	10	8	233	233	233	10	13	234	233	22	217	232	217	234	18	233	12	10	232	10	11	10	232	2	11	3	233	11	2	14	94	11	10	233	16	11	233	11	11	233	2	11	13	11	10	11	11	11	11	11	221	11	13	11	11	10	233	234	11	11	234	234	11	233	122	233	233	11	10	10	222	15	10	11	11	11	18	12	232	235	235	11	220	11	235	10	169	2	235	11	11	10	11	11	235	10	11	11	234	94	233	10	11	11	235	234	235	234	11	234	233
CTX-M-4	213	214	240	237	211	213	213	213	213	241	18	238	212	251	263	214	238	239	18	214	381	212	214	240	211	238	19	239	214	238	213	238	211	18	212	236	214	211	226	217	214	214	215	211	215	211	238	18	214	241	229	214	212	251	236	214	18	214	238	213	23	240	0	213	237	236	239	18	8	214	222	20	210	215	238	11	238	239	238	211	213	216	250	237	213	236	238	228	209	239	18	149	238	214	214	18	218	241	213	215	214	238	24	238	239	17	238	20	213	237	219	237	239	21	217	238	214	213	18	210	150	236	237	213	215	212	237	238	19	215	235	211	213	211	214	235	213	239	237	211	237	238	239	20	241	238	242	213	238	241	241	227	238	237	213	239	238	18	238	238	213	241	238	237	238	239	238	238	238	238	238	214	238	239	238	238	239	213	214	238	238	214	214	237	212	224	18	213	238	237	237	214	239	239	238	238	236	245	239	213	215	215	238	212	238	215	237	211	241	215	237	236	237	240	238	21	238	236	238	214	228	213	237	238	238	215	214	218	214	238	212	18
CTX-M-86	4	3	233	231	2	2	2	2	2	235	207	232	3	244	255	3	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	3	207	3	232	2	207	233	213	0	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	227	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-54	233	232	6	2	231	231	231	231	231	12	230	3	232	19	35	232	3	10	230	232	400	222	232	11	221	12	228	5	232	3	231	3	221	229	231	23	232	167	87	227	232	232	233	221	223	230	3	230	231	12	28	232	230	19	3	232	230	232	3	231	228	10	237	231	0	2	4	230	236	236	116	231	220	233	4	233	3	10	3	232	231	236	18	3	231	1	3	62	221	10	230	234	3	231	223	230	228	12	231	233	224	3	227	3	26	229	4	229	231	2	241	10	4	232	237	9	232	231	230	222	233	2	6	231	233	231	4	9	231	233	22	221	230	221	232	20	231	10	2	230	2	3	4	229	12	3	13	231	3	12	6	88	3	2	229	12	3	230	3	3	231	12	3	5	3	4	3	3	3	3	3	224	3	5	3	3	4	231	232	3	3	232	232	3	231	118	230	231	3	2	2	224	9	4	3	3	3	10	6	230	233	233	3	222	3	233	2	165	12	233	3	3	4	5	3	232	4	3	3	232	90	231	2	3	3	233	232	235	232	3	232	230
CTX-M-22	233	232	6	2	231	231	231	231	231	10	229	3	232	18	34	232	3	8	229	232	398	222	232	9	221	12	227	3	232	3	231	3	221	228	231	23	232	167	87	227	232	232	233	221	223	230	3	229	232	10	28	232	230	18	3	232	229	232	3	231	227	10	236	231	2	0	4	229	235	236	116	230	220	233	2	232	3	10	3	232	231	236	16	3	231	1	3	62	221	10	229	233	3	231	223	229	228	10	231	233	224	3	226	3	26	228	2	228	231	2	241	8	4	231	237	9	232	231	229	222	232	2	4	231	233	229	4	7	230	233	22	221	230	221	232	20	231	10	2	230	2	3	4	228	10	3	11	231	3	10	6	88	3	2	231	12	3	229	3	3	231	10	3	5	3	4	3	3	3	3	3	224	3	5	3	3	4	231	232	3	3	232	232	3	231	118	229	231	3	2	2	224	9	4	3	3	3	10	6	230	233	233	3	222	3	233	2	165	10	233	3	3	4	5	3	231	4	3	3	232	90	231	2	3	3	233	232	235	232	3	232	229
CTX-M-114	235	232	6	4	233	233	233	233	233	12	232	3	234	19	37	234	3	12	232	232	400	220	232	11	221	14	230	3	234	3	233	3	221	231	233	25	232	167	87	229	230	234	235	221	225	232	1	232	232	12	30	232	232	19	3	234	230	232	3	233	230	10	239	233	4	4	0	232	238	238	116	233	222	231	4	235	3	10	3	234	233	238	18	5	233	3	3	62	223	10	232	236	3	233	225	232	230	10	233	233	226	3	229	3	24	231	2	231	231	4	243	10	2	234	239	11	232	231	232	222	235	4	6	233	233	233	4	9	231	233	24	219	232	221	232	22	233	12	2	232	4	3	2	231	12	3	13	233	3	12	6	88	3	4	233	12	3	232	3	3	231	12	3	7	3	2	3	3	3	3	3	226	3	7	3	3	2	233	232	3	3	232	232	3	233	118	232	233	3	4	4	226	11	2	3	3	3	12	6	232	235	235	3	222	3	235	4	167	12	233	3	3	2	3	3	234	2	3	3	232	88	233	4	3	3	233	232	235	232	3	234	232
CTX-M-141	207	208	233	230	205	207	207	207	207	234	2	231	206	244	256	208	231	232	2	208	373	205	208	233	204	231	7	232	208	231	207	231	204	2	206	229	208	203	221	212	208	208	209	204	210	205	231	2	208	234	222	206	206	244	229	208	2	208	231	207	9	233	18	207	230	229	232	0	22	208	215	6	203	207	231	15	231	232	231	205	207	210	243	230	207	229	231	221	202	232	2	139	231	208	207	2	213	234	207	209	207	231	10	231	232	1	231	8	207	230	214	230	232	7	211	231	208	207	2	203	140	229	230	207	209	206	230	231	3	209	228	204	207	204	208	228	207	232	230	205	230	231	232	4	234	231	235	207	231	234	234	222	231	230	207	232	231	2	231	231	207	234	231	230	231	232	231	231	231	231	231	207	231	232	231	231	232	207	208	231	231	208	208	230	206	217	2	207	231	230	230	208	232	232	231	231	229	238	232	207	209	209	231	205	231	209	230	203	234	209	230	229	230	233	231	5	232	229	231	208	221	207	230	231	231	209	208	212	208	231	206	2
CTX-M-7	213	214	239	236	211	213	213	213	213	240	22	237	212	250	262	214	237	238	22	213	377	211	214	239	210	237	21	238	214	237	213	237	210	21	212	235	214	210	226	215	214	214	215	210	213	211	237	22	214	240	228	214	212	250	235	214	22	214	237	213	25	239	8	213	236	235	238	22	0	214	221	22	209	215	237	13	237	240	237	211	213	216	249	236	213	235	237	227	208	240	22	147	237	214	212	22	216	240	213	215	212	237	26	237	238	21	237	22	213	236	219	236	238	23	217	239	214	213	22	209	148	235	236	213	215	212	236	237	23	215	234	210	213	210	214	234	213	238	236	211	236	237	238	24	240	237	241	213	237	240	240	227	237	236	213	238	237	22	237	237	213	240	237	236	237	238	237	237	237	237	237	212	237	238	237	237	238	213	214	237	237	214	214	236	212	223	22	213	237	236	236	212	238	238	237	237	235	244	238	213	215	215	237	211	237	215	236	210	240	215	236	235	236	239	237	25	237	235	237	214	227	213	236	237	237	215	214	218	214	237	212	22
CTX-M-21	12	11	238	236	10	10	10	10	10	240	208	237	11	248	259	11	237	238	208	11	360	207	11	239	206	236	207	237	13	235	10	237	206	207	11	233	11	74	151	203	11	11	13	206	198	10	237	208	11	240	232	11	9	248	237	11	208	11	237	10	208	238	214	10	236	236	238	208	214	0	122	207	205	12	237	209	237	239	237	12	10	15	246	236	10	235	237	176	204	239	208	207	237	13	205	208	204	240	10	14	206	235	209	237	236	207	238	206	10	236	22	238	238	208	16	238	11	10	208	207	209	236	236	10	14	11	236	237	209	12	232	206	10	206	11	237	10	238	236	11	236	237	238	209	240	237	241	10	237	240	240	150	237	236	10	237	237	208	237	237	11	240	237	235	237	238	237	237	237	237	237	204	237	235	237	237	238	10	11	237	235	11	11	236	10	124	208	10	237	236	236	205	237	238	237	237	235	244	237	12	14	12	237	207	237	14	236	76	240	12	236	235	238	239	237	209	238	236	237	11	152	10	236	237	237	12	11	16	11	237	9	208
CTX-M-64	119	116	116	116	117	117	117	117	117	122	215	115	118	131	149	118	115	120	215	116	388	212	118	121	211	123	215	117	120	113	117	115	211	214	118	121	118	95	53	211	116	118	120	211	203	116	115	215	118	122	117	116	116	131	115	118	213	116	115	117	215	120	222	117	116	116	116	215	221	122	0	214	212	117	116	215	115	120	115	118	117	122	130	117	117	115	117	54	211	122	215	230	115	119	211	215	212	120	117	119	213	115	214	115	122	214	116	214	117	116	129	122	116	215	123	121	116	115	215	214	230	116	120	117	121	117	116	119	214	119	120	211	116	213	116	123	117	122	114	117	116	115	116	214	122	115	123	117	115	122	118	52	115	116	117	122	115	215	115	115	115	122	115	118	115	116	115	115	115	115	115	212	115	119	115	115	116	117	116	115	115	116	116	114	117	2	215	117	115	116	116	213	121	116	115	115	115	124	120	118	121	119	115	212	115	121	116	97	122	117	115	115	116	117	115	216	116	115	115	116	30	117	116	115	115	117	116	123	116	115	118	215
CTX-M-124	206	207	234	231	204	206	206	206	206	235	6	232	205	245	257	207	232	233	6	207	372	205	207	234	204	232	7	233	207	232	206	232	204	5	205	230	207	202	222	210	207	207	208	204	208	204	232	6	207	235	223	207	205	245	230	207	6	207	232	206	7	234	20	206	231	230	233	6	22	207	214	0	203	208	232	15	232	235	232	204	206	209	244	231	206	230	232	220	202	235	6	141	232	207	205	6	211	235	206	208	205	232	10	232	233	5	232	8	206	231	213	231	233	1	210	234	207	206	6	203	142	230	231	206	208	205	231	232	7	208	229	204	206	204	207	229	206	233	231	204	231	232	233	8	235	232	236	206	232	235	235	223	232	231	206	233	232	6	232	232	206	235	232	231	232	233	232	232	232	232	232	205	232	233	232	232	233	206	207	232	232	207	207	231	205	216	6	206	232	231	231	206	233	233	232	232	230	239	233	206	208	208	232	205	232	208	231	202	235	208	231	230	231	234	232	9	233	230	232	207	220	206	231	232	232	208	207	211	207	232	205	6
CTX-M-39	199	200	222	220	199	199	199	199	199	220	203	221	198	234	244	200	221	218	203	200	372	2	200	219	2	216	202	223	199	221	199	221	3	202	199	217	200	195	218	100	200	200	201	1	99	197	221	203	200	220	217	200	198	234	221	200	203	200	220	199	204	218	210	199	220	220	222	203	209	205	212	203	0	201	221	203	221	218	221	197	199	200	233	220	199	219	221	216	1	218	203	220	221	202	34	203	101	220	199	200	25	221	204	221	220	202	222	205	199	220	209	218	222	204	203	217	200	199	202	3	220	220	219	199	200	199	222	222	204	201	216	3	199	1	200	220	199	218	220	197	218	219	222	205	219	221	221	199	221	220	223	219	221	220	199	216	221	203	221	221	199	220	221	219	221	221	221	221	221	221	221	34	221	220	221	221	222	199	200	221	221	200	200	220	199	214	203	199	221	220	220	31	216	222	221	219	219	228	221	201	200	201	221	2	221	200	220	195	220	201	220	219	222	223	221	204	222	219	221	200	219	197	220	221	221	201	200	204	200	221	200	202
CTX-M-105	6	3	233	233	4	4	4	4	4	235	209	232	5	244	257	5	232	235	209	3	357	199	3	234	200	234	208	230	7	230	4	232	200	208	5	230	3	66	146	199	1	5	7	200	194	4	230	209	3	235	229	1	3	244	232	5	207	3	232	4	209	233	215	4	233	233	231	207	215	12	117	208	201	0	232	210	232	235	232	6	4	10	242	233	4	232	232	171	200	235	209	209	232	7	201	209	200	233	4	6	202	230	210	232	229	208	231	207	2	233	16	233	231	209	11	236	3	2	209	201	211	233	231	4	6	5	231	233	208	4	229	198	4	200	3	234	4	235	231	5	233	232	231	210	235	232	236	4	232	235	235	145	232	233	4	232	232	209	232	232	3	235	232	232	232	231	232	232	232	232	232	200	232	232	232	232	231	4	3	232	230	3	3	231	4	119	209	4	232	233	233	201	234	231	232	232	230	241	232	6	8	6	232	201	232	8	233	70	235	4	231	230	231	232	232	210	231	231	232	3	145	4	233	232	232	4	3	8	3	232	5	209
CTX-M-28	234	231	6	4	232	232	232	232	232	10	231	3	233	16	36	233	3	8	231	231	398	221	233	9	220	14	229	3	233	3	232	3	220	230	232	25	233	166	87	228	231	233	234	220	224	231	3	231	233	10	30	231	231	16	3	233	229	231	3	232	229	10	238	232	4	2	4	231	237	237	116	232	221	232	0	234	3	10	3	233	232	237	14	5	232	3	5	62	222	12	231	235	3	232	224	231	229	8	232	232	225	3	228	3	26	230	2	230	232	4	242	8	4	233	238	11	231	230	231	223	234	4	4	232	234	230	6	7	230	234	24	220	231	222	231	22	232	10	2	231	4	3	4	230	10	3	11	232	3	10	6	88	3	4	232	12	3	231	3	3	230	10	3	7	3	4	3	3	3	3	3	224	3	7	3	3	4	232	231	3	3	231	231	3	232	118	231	232	3	4	4	225	11	4	3	3	3	12	8	231	234	234	3	221	3	234	4	166	10	232	3	3	4	5	3	233	4	3	3	231	90	232	4	3	3	232	231	236	231	3	233	231
CTX-M-6	208	209	236	233	206	208	208	208	208	237	15	234	207	247	259	209	234	235	15	209	376	205	209	236	204	234	16	235	209	234	208	234	204	14	207	232	209	204	224	212	209	209	210	204	210	206	234	15	209	237	225	209	207	247	232	209	15	209	234	208	18	236	11	208	233	232	235	15	13	209	215	15	203	210	234	0	234	237	234	206	208	211	246	233	208	232	234	224	202	237	15	146	234	209	209	15	213	237	208	210	209	234	19	234	235	14	234	17	208	233	214	233	235	16	212	236	209	208	15	203	147	232	233	208	210	207	233	234	16	210	231	204	208	204	209	231	208	235	233	206	233	234	235	17	237	234	238	208	234	237	237	225	234	233	208	235	234	15	234	234	208	237	234	233	234	235	234	234	234	234	234	209	234	235	234	234	235	208	209	234	234	209	209	233	207	217	15	208	234	233	233	210	235	235	234	234	232	241	235	208	210	210	234	205	234	210	233	204	237	210	233	232	233	236	234	18	234	232	234	209	224	208	233	234	234	210	209	213	209	234	207	15
CTX-M-33	234	231	5	3	232	232	232	232	232	13	231	2	233	18	36	233	2	11	231	231	401	221	233	12	220	13	229	4	233	2	232	2	220	230	232	24	233	166	86	228	231	233	234	220	224	231	2	231	233	13	29	231	231	18	2	233	229	231	2	232	229	11	238	232	3	3	3	231	237	237	115	232	221	232	3	234	0	9	2	233	230	237	17	4	232	2	4	61	222	11	231	235	2	232	224	231	229	11	232	232	225	2	228	2	25	230	3	230	232	3	242	11	3	233	238	10	231	230	231	223	234	3	7	232	234	232	5	8	230	234	23	220	231	222	231	21	232	11	1	231	3	2	3	230	13	2	14	232	2	13	5	87	2	3	232	11	2	231	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	229	231	2	232	117	231	232	2	3	3	225	10	3	2	2	2	11	7	231	234	234	2	219	2	234	1	166	13	230	2	2	3	4	2	233	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	231
CTX-M-96	237	234	12	10	235	235	235	235	235	18	232	9	236	25	43	236	9	16	232	234	400	218	236	17	217	10	232	11	236	9	235	9	217	232	235	25	236	170	92	231	234	236	237	217	227	234	9	232	236	18	30	234	234	25	9	236	230	234	9	235	232	16	239	235	10	10	10	232	240	239	120	235	218	235	10	237	9	0	9	236	235	240	24	11	235	9	11	68	219	2	232	233	9	235	223	232	232	16	235	235	224	9	231	9	26	231	10	233	235	10	245	16	10	236	241	1	234	233	231	220	232	10	14	235	237	235	12	9	231	237	24	217	234	219	234	22	235	8	8	234	10	9	10	231	18	9	19	235	9	18	12	93	9	10	235	6	9	232	9	9	233	18	9	11	9	10	9	9	9	9	9	224	9	13	9	9	10	235	234	9	9	234	234	9	235	122	232	235	9	10	10	224	5	10	9	9	9	18	12	234	237	237	9	218	9	237	10	170	18	235	9	9	10	11	9	234	10	9	9	234	96	235	10	9	9	235	234	239	234	9	236	232
CTX-M-157	234	231	3	3	232	232	232	232	232	13	231	2	233	18	36	233	2	11	231	231	401	221	233	12	220	13	229	4	233	2	232	2	220	230	232	24	233	166	86	228	231	233	234	220	224	231	2	231	233	13	29	231	231	18	2	233	229	231	2	232	229	11	238	232	3	3	3	231	237	237	115	232	221	232	3	234	2	9	0	233	232	237	17	4	232	2	4	61	222	11	231	235	2	232	224	231	229	11	232	232	225	2	228	2	25	230	3	230	232	3	242	11	3	233	238	10	231	230	231	223	234	3	7	232	234	232	5	8	230	234	23	220	231	222	231	21	232	11	1	231	3	2	3	230	13	2	14	232	2	13	5	87	2	3	232	11	2	231	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	231	231	2	232	117	231	232	2	3	3	225	10	3	2	2	2	11	7	231	234	234	2	221	2	234	3	166	13	232	2	2	3	4	2	233	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	231
